a hand holding a spraying hose to a toilet bowl in a small toilet stall <eos> <pad>
a man is a cat water to a man <eos> <eos> a bathroom bathroom <eos> <eos> <eos>

a group of parked cars and people in a parking lot near some houses <eos> <pad> <pad>
a man of people motorcycles on a on a parking lot <eos> a trees <eos> <eos> <eos>

an aerial view of a street at night with the cars headlights streaking through <eos> <pad> <pad>
a old view of a bathroom sign night <eos> a background <eos> <eos> <eos> the <eos> <eos>

a man lying down on a couch with a cat on top of him <eos> <pad> <pad>
a man is on on a bench with a laptop <eos> the of a <eos> <eos> <eos>

traffic lights and people walking as other on a crane continue with their work <eos> <pad> <pad>
a lights on a are on a cars a city <eos> <eos> a bikes <eos> <eos> <eos>

parked cars motorcycles and buses on a cobblestone parking lot next to a street <eos> <pad> <pad>
a motorcycles and parked a are a city street lot <eos> to a street <eos> <eos> <eos>

four jet airplanes flying straight up in the sky leaving a smoke trail <eos> <pad> <pad> <pad>
a giraffes flying flying in on in the sky <eos> the cloudy <eos> <eos> <eos> <eos> <eos>

night picture of a car parked and some parking lights in the distance <eos> <pad> <pad> <pad>
a time of a street and in a buildings lot <eos> a background <eos> <eos> <eos> <eos>

a pair of men and a dog standing on a snow covered hill <eos> <pad> <pad> <pad>
a man of giraffes standing a woman in in a bench covered hillside <eos> <eos> <eos> <eos>

people rides bicycles as a bus driver stands in front of the bus <eos> <pad> <pad> <pad>
a are a on a bus drives in in the of a bus <eos> <eos> <eos> <eos>

an <oov> kitchen with oven sink cabinets microwave wood floor and a window <eos> <pad> <pad> <pad>
a old with with a and and and and cabinets <eos> a stove <eos> <eos> <eos> <eos>

an old bus being loaded with luggages as people with bicycles looks on <eos> <pad> <pad> <pad>
a old fashioned is loaded with a on it on a <eos> at <eos> <eos> <eos> <eos>

a person spraying water into a toilet bowl in a tiled room <eos> <pad> <pad> <pad> <pad>
a man riding water on a toilet in <eos> a bathroom bathroom <eos> <eos> <eos> <eos> <eos>

a close up of a ceramic bowl that has been painted <eos> <pad> <pad> <pad> <pad> <pad>
a man up of a street bowl of has a painted on <eos> <eos> <eos> <eos> <eos>

a stove with pan and teapot on top in the kitchen <eos> <pad> <pad> <pad> <pad> <pad>
a man top a and a on it of it kitchen <eos> <eos> <eos> <eos> <eos> <eos>

a man wearing a bike helmet standing next to a bicycle <eos> <pad> <pad> <pad> <pad> <pad>
a man is a hat and and next to a motorcycle <eos> <eos> <eos> <eos> <eos> <eos>

a wooden bench next to a wall with a wooden door <eos> <pad> <pad> <pad> <pad> <pad>
a man bench sitting to a tree with a toilet wall <eos> <eos> <eos> <eos> <eos> <eos>

a plain white bathroom shown with toilet sink and shower <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man bathroom bathroom with with a and and mirror <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a black and white car peeping through a glass window <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man and white photo parked a a city window <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a blue plane is at the terminal of an airport <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man and is flying the airport of a airport <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a green traffic signal at an intersection in a town <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man and light and a intersection with a city <eos> <eos> <eos> <eos> city <eos> <eos>

a narrow bathroom with a sink mirrors and a shower <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man bathroom with a toilet and and a toilet <eos> <eos> <eos> toilet toilet <eos> <eos>

a clean toilet in a bathroom with a cement floor <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man bathroom and a bathroom with a sink floor <eos> <eos> <eos> shower shower shower <eos>

planes on a wet tarmac unloading at <oov> gates <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a flying the runway runway at at an <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a police motor bike moves past as crowd watches <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man officer bike parked through a a of <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a door is open on a white subway train <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man with open to a toilet toilet train <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a stove microwave sink and dishwasher in a kitchen <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man top and and a in a kitchen <eos> <eos> <eos> <eos> stove <eos> <eos> <eos>

a bathroom with the sink and medicine cabinet visible <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man with a toilet and toilet cabinet <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a street sign with a building in the background <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man sign on a traffic and the background <eos> <eos> <eos> <eos> <eos> background <eos> <eos>

a cat sitting outside on some cobble stone <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man sitting on of a rocks a wall <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a dirty worn down kitchen a door scene <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man bathroom toilet a with stove with <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a bathroom counter decorated with vines and flowers <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man with with with a and a <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

