a hand holding a spraying hose to a toilet bowl in a small toilet stall <eos>
a man is a giraffe water to a giraffe <eos> <eos> a bathroom bathroom <eos> <eos>

four jet airplanes flying straight up in the sky leaving a smoke trail <eos> <pad> <pad>
a giraffes flying flying in in in the sky <eos> the cloudy <eos> <eos> <eos> <eos>

night picture of a car parked and some parking lights in the distance <eos> <pad> <pad>
a time of a street parked in a people lot <eos> the background <eos> <eos> <eos>

a pair of men and a dog standing on a snow covered hill <eos> <pad> <pad>
a man of giraffes standing a woman in in a bench covered field <eos> <eos> <eos>

people rides bicycles as a bus driver stands in front of the bus <eos> <pad> <pad>
a are a on a bus is on in the of a building <eos> <eos> <eos>

an <oov> kitchen with oven sink cabinets microwave wood floor and a window <eos> <pad> <pad>
a airplane with with a and and and and <eos> <eos> a stove <eos> <eos> <eos>

an old bus being loaded with luggages as people with bicycles looks on <eos> <pad> <pad>
a airplane fashioned is remodeled with a on it on a <eos> at it <eos> <eos>

a motorcycle and couple of bicycles sitting on rugs in a store <eos> <pad> <pad> <pad>
a man parked a of people are on a <eos> a parking <eos> <eos> <eos> <eos>

a man wearing a bike helmet standing next to a bicycle <eos> <pad> <pad> <pad> <pad>
a man is a hat is and next to a motorcycle <eos> <eos> <eos> <eos> <eos>

a wooden bench next to a wall with a wooden door <eos> <pad> <pad> <pad> <pad>
a man bench sitting to a tree with a tree fence <eos> <eos> <eos> <eos> <eos>

an aerial view of several <oov> cars on a narrow road <eos> <pad> <pad> <pad> <pad>
a airplane view of a people and and a city street <eos> <eos> <eos> <eos> <eos>

a black and white car peeping through a glass window <eos> <pad> <pad> <pad> <pad> <pad>
a man and white photo parked a a city door <eos> <eos> <eos> <eos> <eos> <eos>

a blue plane is at the terminal of an airport <eos> <pad> <pad> <pad> <pad> <pad>
a man and is flying the airport <eos> a airport <eos> <eos> <eos> <eos> <eos> <eos>

a green traffic signal at an intersection in a town <eos> <pad> <pad> <pad> <pad> <pad>
a man and light and a intersection with a city <eos> <eos> <eos> <eos> <eos> <eos>

a narrow bathroom with a sink mirrors and a shower <eos> <pad> <pad> <pad> <pad> <pad>
a man bathroom with a toilet and and a mirror <eos> <eos> <eos> <eos> <eos> <eos>

a clean toilet in a bathroom with a cement floor <eos> <pad> <pad> <pad> <pad> <pad>
a man bathroom and a bathroom with a sink sink <eos> <eos> <eos> <eos> <eos> <eos>

a group of cars parked in a lot behind buildings <eos> <pad> <pad> <pad> <pad> <pad>
a man of people parked on a parking <eos> a <eos> <eos> <eos> <eos> <eos> <eos>

an old man in a suit and tie is staring <eos> <pad> <pad> <pad> <pad> <pad>
a airplane fashioned sitting a kitchen and a <eos> sitting at <eos> <eos> <eos> <eos> <eos>

a plane begins to land as seen from the street <eos> <pad> <pad> <pad> <pad> <pad>
a man is to a on a from the runway <eos> <eos> <eos> <eos> <eos> <eos>

a bathroom with the sink and medicine cabinet visible <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man with a toilet and a cabinet <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a street sign with a building in the background <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man sign that a pole in the background <eos> <eos> <eos> <eos> <eos> <eos> <eos>

various items sit on top of tables and counters <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a people are on a of a and a <eos> <eos> <eos> <eos> <eos> <eos> <eos>

old fashioned planes in a line on the ground <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a fashioned kitchen flying the field of a runway <eos> <eos> <eos> <eos> <eos> <eos> <eos>

eight jets in the sky in a flying formation <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a sheep are formation air with the field in <eos> <eos> <eos> <eos> sky sky <eos>

a cat sitting outside on some cobble stone <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man sitting on of a grass a <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a dirty worn down kitchen a door scene <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man bathroom toilet a with stove open <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a bathroom counter decorated with vines and flowers <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man with with with a and a <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

horse grazing in field next to old church <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a in in a with to a building <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a giraffe standing next to a tour jeep <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man standing next to a tree bus <eos> <eos> <eos> <eos> <eos> tree <eos> <eos>

a multiple shelf computer desk with two monitors <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man people with and with a computer and <eos> <eos> and and and <eos> <eos>

plane flying high in a clear blue sky <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a flying in in the cloudy blue sky <eos> <eos> <eos> <eos> sky sky sky sky

a plane flying high in a blue sky <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man is over in the cloudy sky <eos> <eos> <eos> sky sky sky sky sky

